cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0511,66.12293243408203,38.307315,16.069384,2023-01-26,
c0511,81.16947174072266,38.307315,16.069384,2023-01-27,-0.3025231772723297
c0511,55.61882400512695,38.307315,16.069384,2023-01-28,
c0511,51.43461608886719,38.307315,16.069384,2023-01-29,-0.7146955737270568
c0511,41.48854446411133,38.307315,16.069384,2023-01-30,
c0511,35.12192153930664,38.307315,16.069384,2023-01-31,
c0511,35.97308349609375,38.307315,16.069384,2023-02-01,-0.6420734537144502
c0511,49.51083755493164,38.307315,16.069384,2023-02-02,
c0511,24.197978973388672,38.307315,16.069384,2023-02-03,-0.2096476626317522
c0511,28.224693298339844,38.307315,16.069384,2023-02-04,
c0511,38.87031173706055,38.307315,16.069384,2023-02-05,
c0511,64.30656433105469,38.307315,16.069384,2023-02-06,-0.6016119320411235
c0511,39.46075820922851,38.307315,16.069384,2023-02-07,
c0511,55.908180236816406,38.307315,16.069384,2023-02-08,-0.2270886741163443
c0511,61.08147811889648,38.307315,16.069384,2023-02-09,
c0511,32.29343032836914,38.307315,16.069384,2023-02-10,
c0511,29.859954833984375,38.307315,16.069384,2023-02-11,-0.6431010849773884
c0511,17.199708938598633,38.307315,16.069384,2023-02-12,
c0511,18.401899337768555,38.307315,16.069384,2023-02-13,-0.1661479666861883
c0511,4.416683197021484,38.307315,16.069384,2023-02-14,
c0511,12.972360610961914,38.307315,16.069384,2023-02-15,
c0511,26.4539737701416,38.307315,16.069384,2023-02-16,-0.6193037157257398
c0511,51.554325103759766,38.307315,16.069384,2023-02-17,
c0511,43.43410873413086,38.307315,16.069384,2023-02-18,-0.4603991689801605
c0511,40.3110237121582,38.307315,16.069384,2023-02-19,
c0511,27.158926010131836,38.307315,16.069384,2023-02-20,
c0511,14.22673797607422,38.307315,16.069384,2023-02-21,-0.6187287184099356
c0511,43.37460708618164,38.307315,16.069384,2023-02-22,
c0511,55.17823028564453,38.307315,16.069384,2023-02-23,-0.6533868387123007
c0511,67.73932647705078,38.307315,16.069384,2023-02-24,
c0511,88.00099182128906,38.307315,16.069384,2023-02-25,
c0511,92.9947509765625,38.307315,16.069384,2023-02-26,0.0029339574357436
c0511,56.40372848510742,38.307315,16.069384,2023-02-27,
c0511,65.0203628540039,38.307315,16.069384,2023-02-28,-0.3377491822275074
c0511,62.53279876708984,38.307315,16.069384,2023-03-01,
c0511,48.82107162475586,38.307315,16.069384,2023-03-02,
c0511,80.19076538085938,38.307315,16.069384,2023-03-03,-0.0410543583178271
c0511,60.06594467163086,38.307315,16.069384,2023-03-04,
c0511,34.74755859375,38.307315,16.069384,2023-03-05,0.0173970881243211
c0511,81.41822814941406,38.307315,16.069384,2023-03-06,
c0511,34.98637390136719,38.307315,16.069384,2023-03-07,
c0511,61.46663284301758,38.307315,16.069384,2023-03-08,-0.5326944502691427
c0511,65.2919692993164,38.307315,16.069384,2023-03-09,
c0511,73.53563690185547,38.307315,16.069384,2023-03-10,-0.0757718936777796
c0511,66.88081359863281,38.307315,16.069384,2023-03-11,
c0511,26.467937469482425,38.307315,16.069384,2023-03-12,
c0511,19.276132583618164,38.307315,16.069384,2023-03-13,-0.0555155791807919
c0511,59.9267463684082,38.307315,16.069384,2023-03-14,
c0511,61.72649765014648,38.307315,16.069384,2023-03-15,-0.0264263379536405
c0511,25.95884704589844,38.307315,16.069384,2023-03-16,
c0511,30.424362182617188,38.307315,16.069384,2023-03-17,
c0511,11.532129287719728,38.307315,16.069384,2023-03-18,-0.6177700000504652
c0511,90.25900268554688,38.307315,16.069384,2023-03-19,
c0511,70.1651611328125,38.307315,16.069384,2023-03-20,-0.0361803230717559
c0511,22.141830444335938,38.307315,16.069384,2023-03-21,
c0511,31.94947052001953,38.307315,16.069384,2023-03-22,
c0511,31.190786361694336,38.307315,16.069384,2023-03-23,-0.3193750896801551
c0511,45.6745719909668,38.307315,16.069384,2023-03-24,
c0511,56.384063720703125,38.307315,16.069384,2023-03-25,-0.2826324352213452
c0511,49.50163269042969,38.307315,16.069384,2023-03-26,
c0511,19.399572372436523,38.307315,16.069384,2023-03-27,
c0511,25.49648666381836,38.307315,16.069384,2023-03-28,-0.5223109622796376
c0511,48.02802658081055,38.307315,16.069384,2023-03-29,
